     0.002 D | Testing "/home/chaos/.local/share/PrismLauncher/qtlogging.ini" ...
     0.003 D | Testing "/nix/store/d2clqcfbhm3cn4nkpz0a7mjhs7li15a4-prismlauncher-unwrapped-9.4/share/PrismLauncher/qtlogging.ini" ...
     0.003 D | Loading logging rules from: "/nix/store/d2clqcfbhm3cn4nkpz0a7mjhs7li15a4-prismlauncher-unwrapped-9.4/share/PrismLauncher/qtlogging.ini"
     0.003 D | Setting log rules:
     0.003 D |      "*.debug=true"
     0.003 D |      "launcher.auth.credentials.debug=false"
     0.003 D |      "launcher.task=false"
     0.003 D |      "launcher.task.net=true"
     0.003 D |      "launcher.task.net.download.debug=false"
     0.003 D |      "launcher.task.net.metacache=false"
     0.003 D |      "launcher.task.net.metacache.http=true"
     0.003 D |      "launcher.task.net.upload=true"
     0.003 D |      "qt.*.debug=false"
     0.003 D | <> Log initialized.
     0.003 D | <> No migration needed from "PolyMC"
     0.003 D | <> No migration needed from "MultiMC"
     0.003 D | Prism Launcher, © 2022-2025 Prism Launcher Contributors, © 2021-2022 PolyMC Contributors, © 2012-2021 MultiMC Contributors
     0.003 D | Version                    :  "9.4"
     0.003 D | Platform                   :  "nixpkgs"
     0.003 D | Git commit                 :  ""
     0.003 D | Git refspec                :  "refs/heads/stable"
     0.003 D | Compiled for               :  "Linux 6.12.53 aarch64"
     0.003 D | Compiled by                :  "GNU - 14.3.0"
     0.003 D | Build Artifact             :  ""
     0.003 D | Updates Enabled           :  No
     0.003 D | Work dir before adjustment :  "/home/chaos/nixos-cfg/config/ags/dist"
     0.003 D | Work dir after adjustment  :  "/home/chaos/.local/share/PrismLauncher"
     0.003 D | Adjusted by                :  "Persistent data path"
     0.003 D | Binary path                :  "/nix/store/d2clqcfbhm3cn4nkpz0a7mjhs7li15a4-prismlauncher-unwrapped-9.4/bin"
     0.003 D | Application root path      :  "/nix/store/d2clqcfbhm3cn4nkpz0a7mjhs7li15a4-prismlauncher-unwrapped-9.4"
     0.003 D | <> Paths set.
     0.017 D | Detected default console font: "DejaVu Sans Mono" , substitutions: ""
     0.031 D | <> Settings loaded.
     0.032 D | Detecting proxy settings...
     0.032 D | Using no proxy is an option!
     0.032 D | <> Network done.
     0.032 C | Exception: "Unable to open /home/chaos/.local/share/PrismLauncher/translations/index_v2.json for reading: No such file or directory"
     0.033 C | Translations Download Failed: index file not readable
     0.033 W | Selected invalid language "" , defaulting to "en_US"
     0.033 D | Your language is ""
     0.033 D | <> Translations loaded.
     0.034 D | Started watching  "/home/chaos/.local/share/PrismLauncher/icons"
     0.034 D | Sorting icon list...
     0.038 D | <> Instance icons initialized.
     0.039 D | [Theme] Determining System Widget Theme...
     0.039 D | [Theme] System theme seems to be: "fusion"
     0.039 D | [Theme] <> Initializing Icon Themes
     0.039 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.039 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.039 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
